VendorNumber,VendorName,Brand,Description,PurchasePrice,actualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio
3960.0,DIAGEO NORTH AMERICA INC,4261.0,Capt Morgan Spiced Rum,16.17,22.99,1750.0,95004.0,1536214.68,19486.0,428528.14,41432.159999999996,35804.05,257032.07,-1107686.54,-258.4863015063608,0.012684425070068983,0.27895068676208723
1128.0,BROWN-FORMAN CORP,1233.0,Jack Daniels No 7 Black,26.27,36.99,1750.0,57735.0,1516698.45,9080.0,326789.2,61614.880000000005,16683.12,68601.68,-1189909.25,-364.12135101160015,0.005986687729521976,0.21546089138549593
4425.0,MARTIGNETTI COMPANIES,3405.0,Tito's Handmade Vodka,23.19,28.99,1750.0,62385.0,1446708.15,9052.0,270781.48,50459.13,16631.68,144929.24,-1175926.67,-434.2714538675245,0.006256963437995425,0.18717077110542302
17035.0,PERNOD RICARD USA,8068.0,Absolut 80 Proof,18.24,24.99,1750.0,75385.0,1375022.4,10243.0,264494.57,45628.329999999994,18819.829999999998,123780.22,-1110527.8299999998,-419.8679126002473,0.007449333189044775,0.19235655360959938
3960.0,DIAGEO NORTH AMERICA INC,3545.0,Ketel One Vodka,21.89,29.99,1750.0,55834.0,1222206.26,11765.0,354214.35,51029.09,21616.829999999998,257032.07,-867991.91,-245.0470767206354,0.009626034806923669,0.28981552589985915
3960.0,DIAGEO NORTH AMERICA INC,3102.0,Smirnoff Traveler,12.94,17.99,1750.0,71943.0,930942.42,6477.0,116521.23,24214.539999999997,11900.5,257032.07,-814421.1900000001,-698.9466125615049,0.00695746574745192,0.12516480879666003
480.0,BACARDI USA INC,3858.0,Grey Goose Vodka,17.77,23.99,750.0,49014.0,870978.78,9239.0,221671.61,40795.0,7274.26,89286.27,-649307.17,-292.91399561721056,0.010607606307010143,0.25450862304590244
3960.0,DIAGEO NORTH AMERICA INC,3489.0,Tanqueray,20.73,27.99,1750.0,37884.0,785335.32,3996.0,133336.04,48382.67,7341.91,257032.07,-651999.2799999999,-488.9895335124696,0.005088272357341575,0.16978230394629396
12546.0,JIM BEAM BRANDS COMPANY,1376.0,Jim Beam,16.29,21.99,1750.0,42497.0,692276.13,7159.0,164654.41,40803.31,13153.109999999999,123880.97,-527621.72,-320.44190009851536,0.010341249235330417,0.23784499113092344
17035.0,PERNOD RICARD USA,2589.0,Jameson Irish Whiskey,30.76,39.99,1750.0,21780.0,669952.8,4497.0,185591.03,56230.5,8262.84,123780.22,-484361.77,-260.983394509961,0.006712413172987709,0.27702105282640804
480.0,BACARDI USA INC,4227.0,Bacardi Superior Rum Trav,14.17,17.99,1750.0,45905.0,650473.85,9891.0,177939.09,29017.87,18173.56,89286.27,-472534.76,-265.5598384818086,0.015205838021005764,0.2735530259978937
17035.0,PERNOD RICARD USA,2585.0,Jameson Irish Whiskey,16.42,22.99,750.0,38847.0,637867.74,6628.0,157253.72,39409.46,5218.13,123780.22,-480614.02,-305.6296665032789,0.010390868802990413,0.2465302916871137
9165.0,ULTRA BEVERAGE COMPANY LLP,3650.0,Patron Silver Tequila,33.81,48.99,750.0,18720.0,632923.2000000001,2773.0,138063.27,55572.840000000004,2183.47,68054.7,-494859.93000000005,-358.4298198934446,0.004381258263245841,0.21813589705670447
7245.0,PROXIMO SPIRITS INC.,3802.0,Three Olives Vodka,13.43,18.99,1750.0,46470.0,624092.1,7751.0,139937.49,31556.539999999997,14240.93,38994.78,-484154.61,-345.9792011418813,0.012419641267691099,0.22422570322553353
10000.0,MAJESTIC FINE WINES,6570.0,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,85997.0,582199.69,8087.0,106549.29,17285.99,908.13,17587.59,-475650.39999999997,-446.4134861902881,0.013890423060857351,0.1830115883435115
3960.0,DIAGEO NORTH AMERICA INC,4260.0,Capt Morgan Original Barrel,16.66,21.99,1750.0,34792.0,579634.72,1.0,24.49,24.49,1.84,257032.07,-579610.23,-2366722.0498162513,1.7252244655047579e-06,4.225074716021152e-05
3960.0,DIAGEO NORTH AMERICA INC,2757.0,Johnnie Walker Red Label,22.38,29.99,1750.0,24034.0,537880.92,5124.0,153668.76,42705.759999999995,9414.47,257032.07,-384212.16000000003,-250.02619920926023,0.009526272097549025,0.2856929002054953
7245.0,PROXIMO SPIRITS INC.,8159.0,Jose Cuervo Especial,19.69,25.99,1750.0,27138.0,534347.22,3919.0,101854.81,35840.21,7200.5199999999995,38994.78,-432492.41,-424.61657922684253,0.007334182444141845,0.19061540172324654
480.0,BACARDI USA INC,3348.0,Bombay Sapphire Gin,22.38,29.99,1750.0,22989.0,514493.82,2171.0,77715.29000000001,37680.590000000004,3989.23,89286.27,-436778.53,-562.0239337715911,0.004219681394812478,0.1510519407210761
12546.0,JIM BEAM BRANDS COMPANY,3512.0,Pinnacle Vodka,11.76,16.99,1750.0,42449.0,499200.24,7300.0,123374.0,28928.879999999997,13412.21,123880.97,-375826.24,-304.62353494253244,0.01462339040542128,0.24714331066828013
17035.0,PERNOD RICARD USA,5364.0,Kahlua,23.07,29.99,1750.0,21564.0,497481.48,4536.0,144178.63999999998,49044.57,8333.77,123780.22,-353302.83999999997,-245.04520225742178,0.009117927364853864,0.28981710032703123
8664.0,"STOLI GROUP,(USA) LLC",8112.0,Stolichnaya,19.52,24.99,1750.0,25420.0,496198.4,3465.0,92688.34999999999,33318.54,6366.389999999999,18544.49,-403510.05000000005,-435.340633423726,0.006983093859230501,0.18679695460525464
3960.0,DIAGEO NORTH AMERICA INC,8680.0,Crown Royal,28.88,39.99,1750.0,17027.0,491739.76,3893.0,155608.07,58656.340000000004,7152.93,257032.07,-336131.69,-216.01173383873987,0.0079167891569313,0.31644394587901536
12546.0,JIM BEAM BRANDS COMPANY,2120.0,Canadian Club,12.21,16.99,1750.0,39953.0,487826.13,8096.0,128773.04,27854.510000000002,14874.97,123880.97,-359053.09,-278.8262900371072,0.016596076967012815,0.26397323161020503
480.0,BACARDI USA INC,2663.0,Dewars White Label,21.42,29.99,1750.0,22098.0,473339.16000000003,2903.0,108880.97,45918.16,5333.91,89286.27,-364458.19000000006,-334.730844150268,0.006133023094898803,0.230027386705127
17035.0,PERNOD RICARD USA,3423.0,Beefeater,21.25,26.99,1750.0,22013.0,467776.25,3008.0,81185.92,32630.91,5526.71,123780.22,-386590.33,-476.17903449268056,0.0064304248024563025,0.1735571654182956
480.0,BACARDI USA INC,3857.0,Grey Goose Vodka,38.27,49.99,1750.0,12205.0,467085.35,1448.0,81134.52,41946.630000000005,2660.93,89286.27,-385950.82999999996,-475.6925042509649,0.0031000758212605044,0.17370384234915526
8004.0,SAZERAC CO INC,5138.0,Fireball Cinnamon Whisky,11.1,13.99,750.0,39959.0,443544.9,8120.0,113614.8,24194.71,6392.96,50293.62,-329930.10000000003,-290.3935930882244,0.01830705301763136,0.2561517447275349
11567.0,CAMPARI AMERICA,3826.0,Skyy Vodka,15.74,19.99,1750.0,27821.0,437902.54,3224.0,76047.76,32121.579999999998,5923.22,20964.81,-361854.77999999997,-475.82569164430356,0.00736236880471166,0.17366366497896998
3960.0,DIAGEO NORTH AMERICA INC,8512.0,Baileys Irish Cream,14.72,19.99,750.0,29537.0,434784.64,5753.0,114225.47,32510.649999999998,4528.98,257032.07,-320559.17000000004,-280.63720814630926,0.013231838180852018,0.262717353584524
4425.0,MARTIGNETTI COMPANIES,3505.0,Tito's Handmade Vodka,13.76,18.99,750.0,29305.0,403236.8,3319.0,70440.81,26757.449999999997,2613.17,144929.24,-332795.99,-472.44770467574125,0.008230895592862556,0.1746884460942057
8004.0,SAZERAC CO INC,5103.0,Fireball Cinnamon Whisky,17.14,23.99,1750.0,22628.0,387843.92,2473.0,69085.27,29746.429999999997,4543.83,50293.62,-318758.64999999997,-461.39886259400873,0.006376276312388757,0.17812647417548794
3960.0,DIAGEO NORTH AMERICA INC,8082.0,Baileys Irish Cream,21.73,33.99,1750.0,17465.0,379514.45,2889.0,105698.11,45805.78,5308.5199999999995,257032.07,-273816.34,-259.05509568714143,0.007612358370017268,0.27850878932277806
1128.0,BROWN-FORMAN CORP,1232.0,Jack Daniels No 7 Black,15.93,22.99,750.0,22943.0,365481.99,4616.0,106833.84,35404.759999999995,3634.31,68601.68,-258648.15,-242.10320437793865,0.012629897303557968,0.29230945141783865
17035.0,PERNOD RICARD USA,5734.0,Malibu Rum,15.82,21.99,1750.0,23102.0,365473.64,2745.0,60362.549999999996,23353.379999999997,5043.64,123780.22,-305111.09,-505.4642158093057,0.007510801599808949,0.1651625271797988
480.0,BACARDI USA INC,126.0,Grey Goose Vodka,20.14,32.99,1000.0,18116.0,364856.24,1913.0,61981.87,22640.06,2008.65,89286.27,-302874.37,-488.64993908702655,0.005243160977594902,0.16988025201377946
480.0,BACARDI USA INC,4243.0,Bacardi Superior Rum,14.49,19.99,1750.0,24792.0,359236.08,2786.0,63744.14,23625.879999999997,5118.8099999999995,89286.27,-295491.94,-463.55937973278805,0.007755345732533324,0.1774435908553506
3960.0,DIAGEO NORTH AMERICA INC,2753.0,Johnnie Walker Black Label,44.77,59.99,1750.0,7495.0,335551.15,1012.0,69084.88,35794.759999999995,1859.77,257032.07,-266466.27,-385.70852261739475,0.003015933636347245,0.2058847958053489
8112.0,MOET HENNESSY USA INC,42188.0,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,9405.0,319864.05,1008.0,54829.92,6933.71,113.14,48347.26,-265034.13,-483.37500766005127,0.0031513388266046155,0.17141632515438981
9552.0,M S WALKER INC,3893.0,Zhenka 80 Proof,7.93,9.99,1750.0,40276.0,319388.68,7825.0,78171.75,16533.45,14376.77,55551.82,-241216.93,-308.5730203046497,0.024499929051962643,0.2447542912291068
3960.0,DIAGEO NORTH AMERICA INC,3798.0,Ciroc Apple Vodka,19.83,28.99,750.0,16012.0,317517.96,1631.0,44522.69,13536.189999999999,1284.52,257032.07,-272995.27,-613.1598742124521,0.005136717305691936,0.14022101300978376
8004.0,SAZERAC CO INC,3522.0,Platinum 7X Distilled Vodka,9.62,12.99,1750.0,32183.0,309600.46,5224.0,67877.76,20325.36,9597.76,50293.62,-241722.7,-356.1147274158723,0.016873359942682256,0.2192430851039433
3960.0,DIAGEO NORTH AMERICA INC,2443.0,Seagrams VO,13.48,16.99,1750.0,22716.0,306211.68,2945.0,61794.549999999996,25008.079999999998,5410.82,257032.07,-244417.13,-395.5318551555113,0.009617529938766542,0.2018033734049596
17035.0,PERNOD RICARD USA,8000.0,The Glenlivet 12 Yr Single,53.96,67.99,1750.0,5453.0,294243.88,872.0,59287.28,35966.71,1602.62,123780.22,-234956.6,-396.3018711602219,0.00296352807745738,0.20149027398632724
1392.0,CONSTELLATION BRANDS INC,2114.0,Black Velvet Canadian Whisky,9.41,12.99,1750.0,31266.0,294213.06,6536.0,86063.64,22188.18,12008.5,79528.99,-208149.41999999998,-241.8552364273693,0.022215193302431917,0.2925214808615226
3960.0,DIAGEO NORTH AMERICA INC,2432.0,Crown Royal,17.59,22.99,750.0,16506.0,290340.54,2795.0,70318.05,33294.84,2200.75,257032.07,-220022.49,-312.8961767284502,0.00962662671909338,0.24219163469214464
12546.0,JIM BEAM BRANDS COMPANY,1385.0,Makers Mark,20.45,26.99,750.0,14159.0,289551.55,3012.0,81530.87999999999,34783.15,2371.62,123880.97,-208020.66999999998,-255.14341314603746,0.010402292786897532,0.28157638942012225
8112.0,MOET HENNESSY USA INC,6654.0,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,10469.0,284756.8,1105.0,48253.950000000004,20283.4,123.26,48347.26,-236502.84999999998,-490.12122323664687,0.003880504346164868,0.1694567083209251
1128.0,BROWN-FORMAN CORP,811.0,Jack Daniels No 7 Black,19.84,29.99,1000.0,14106.0,279863.04000000004,1589.0,49608.11,18414.11,1668.45,68601.68,-230254.93000000005,-464.14775729210413,0.00567777724418344,0.17725852617051538
1128.0,BROWN-FORMAN CORP,2015.0,Jack Daniels Tennessee Honey,18.1,22.99,750.0,15307.0,277056.7,2214.0,51469.86,22889.19,1743.47,68601.68,-225586.84000000003,-438.28920459468907,0.00799114405101916,0.18577374234227145
660.0,SAZERAC NORTH AMERICA INC.,2127.0,Canadian Ltd,7.19,10.49,1750.0,38250.0,275017.5,6778.0,71101.22,16490.28,12453.06,17932.33,-203916.28,-286.7971604425353,0.024645704364267728,0.25853343878116847
1392.0,CONSTELLATION BRANDS INC,6682.0,R M Woodbridge Chard Cal,6.03,8.99,1500.0,44163.0,266302.89,4210.0,52409.9,15349.36,945.19,79528.99,-213892.99000000002,-408.11562319332796,0.015809066135181633,0.19680559981906318
7239.0,REMY COINTREAU USA INC,5242.0,Cointreau Liqueur,22.05,29.99,750.0,11899.0,262372.95,1336.0,44588.64,26300.13,1052.4,16978.67,-217784.31,-488.4300350941405,0.005091988331876437,0.16994373848371183
17035.0,PERNOD RICARD USA,5365.0,Kahlua,14.84,18.99,750.0,17437.0,258765.08000000002,3731.0,74181.69,30664.579999999998,2937.29,123780.22,-184583.39,-248.8260782411401,0.014418483359501211,0.28667581421728155
3960.0,DIAGEO NORTH AMERICA INC,4262.0,Capt Morgan Spiced Rum,11.19,13.99,750.0,22798.0,255109.62,5419.0,82150.81,23607.51,4266.39,257032.07,-172958.81,-210.53816754819584,0.021241848896172557,0.32202160780922334
3960.0,DIAGEO NORTH AMERICA INC,3876.0,Smirnoff 80 Proof,13.95,19.99,1750.0,18167.0,253429.65,7617.0,143829.83,34381.86,13994.67,257032.07,-109599.82,-76.20103562661515,0.030055678173410254,0.5675335541835771
4425.0,MARTIGNETTI COMPANIES,11219.0,Josh Cellars Cab Svgn Sonoma,8.44,12.99,750.0,29952.0,252794.88,7170.0,107307.3,21015.96,804.5600000000001,144929.24,-145487.58000000002,-135.5803193258986,0.028362916210961233,0.42448367625167094
12546.0,JIM BEAM BRANDS COMPANY,3980.0,Hornitos Reposado Tequila,31.99,39.99,1750.0,7838.0,250737.62,805.0,32191.95,22834.29,1479.6,123880.97,-218545.66999999998,-678.8829816149689,0.003210527403107679,0.12838899085027608
12546.0,JIM BEAM BRANDS COMPANY,1346.0,Knob Creek Bourbon,22.55,29.99,750.0,11118.0,250710.9,1920.0,57713.799999999996,30492.859999999997,1512.16,123880.97,-192997.1,-334.40373013040215,0.007658223076858645,0.2302006015693773
1392.0,CONSTELLATION BRANDS INC,3913.0,Svedka Vodka,14.28,17.99,1750.0,16579.0,236748.12,4311.0,78315.89,26827.3,7920.5599999999995,79528.99,-158432.22999999998,-202.29895874259998,0.018209225906419026,0.3307983607219352
3089.0,SIDNEY FRANK IMPORTING CO,5445.0,Jagermeister Liqueur,11.76,15.99,750.0,20073.0,236058.48,3806.0,61103.94,23767.21,2996.21,8549.55,-174954.54,-286.3228459572329,0.01612312338874672,0.2588508576349386
8664.0,"STOLI GROUP,(USA) LLC",3630.0,Stolichnaya Razberi,19.83,24.99,1750.0,11737.0,232744.71,1925.0,51436.75,26368.129999999997,3537.15,18544.49,-181307.96,-352.4872002993968,0.008270864674002688,0.22100072650415986
17035.0,PERNOD RICARD USA,3625.0,Absolut 80 Proof,12.59,16.99,750.0,18465.0,232474.35,3296.0,59295.04,23638.859999999997,2595.12,123780.22,-173179.31,-292.06373754027317,0.014177908229445528,0.25506056904772506
